,decision,Gold_benefits,Platinum_upgrade,Platinum_upgrade_merit,age,female,income
635,0.0,0,0,1,62.416668,0,1000000000
636,0.0,0,0,1,53.25,0,60000000
637,0.0,0,0,1,58.416668,0,600000000
638,1.0,1,0,0,55.75,0,180000000
639,0.0,1,0,0,38.583332,0,195000000
640,0.0,0,1,0,45.333332,0,600000000
641,0.0,0,0,1,48.333332,0,60000000
642,0.0,0,0,1,51.833332,1,377000000
644,0.0,1,0,0,56.333332,1,500000000
645,0.0,0,0,1,40.833332,0,60000000
646,0.0,0,0,1,49.166668,0,60000000
647,1.0,0,0,1,44.0,0,60000000
649,1.0,0,0,1,53.916668,0,600000000
650,0.0,0,0,1,31.083334,0,180000000
653,0.0,0,0,1,38.333332,0,60000000
654,0.0,1,0,0,45.166668,0,390000000
661,0.0,1,0,0,56.25,0,300000000
662,1.0,0,0,1,58.916668,0,60000000
664,1.0,1,0,0,50.5,1,60000000
665,0.0,0,1,0,42.916668,0,25000000
669,0.0,0,0,1,31.5,0,60000000
670,0.0,1,0,0,43.833332,0,622000000
671,0.0,1,0,0,37.416668,0,25000000
672,0.0,0,1,0,52.25,0,60000000
674,0.0,0,0,1,66.416664,0,60000000
675,0.0,0,0,1,56.0,0,368000000
676,0.0,1,0,0,40.25,0,60000000
677,0.0,0,1,0,37.166668,0,60000000
678,0.0,0,0,1,50.416668,0,580000000
680,0.0,0,1,0,51.666668,0,60000000
681,0.0,1,0,0,66.083336,1,300000000
684,1.0,0,0,1,28.583334,0,350000000
686,0.0,1,0,0,49.25,0,180000000
687,0.0,0,0,1,46.583332,0,60000000
690,0.0,0,1,0,41.0,0,60000000
692,0.0,0,1,0,56.25,0,487000000
694,0.0,0,1,0,50.083332,1,60000000
695,0.0,0,1,0,47.166668,0,60000000
696,1.0,1,0,0,39.0,0,60000000
697,0.0,1,0,0,47.333332,1,60000000
699,0.0,1,0,0,59.083332,0,60000000
700,0.0,0,1,0,41.166668,0,25000000
701,1.0,1,0,0,41.583332,0,60000000
703,0.0,0,0,1,58.166668,0,60000000
704,0.0,0,0,1,60.583332,0,276000000
706,0.0,0,0,1,59.25,0,60000000
708,0.0,0,1,0,41.833332,0,360000000
710,0.0,0,0,1,50.583332,0,60000000
712,0.0,1,0,0,47.583332,0,60000000
713,0.0,0,1,0,43.666668,0,180000000
718,0.0,0,1,0,47.416668,0,531000000
720,1.0,0,1,0,57.0,0,60000000
722,0.0,0,1,0,56.333332,0,300000000
723,1.0,0,0,1,50.333332,0,60000000
724,1.0,0,0,1,40.666668,1,60000000
725,0.0,0,0,1,42.916668,0,65000000
726,0.0,0,1,0,39.333332,0,180000000
727,0.0,1,0,0,62.833332,0,2000000000
729,0.0,0,1,0,50.333332,0,200000000
730,0.0,0,0,1,35.583332,0,60000000
731,0.0,0,1,0,61.583332,1,900000000
732,0.0,1,0,0,40.083332,0,600000000
733,0.0,0,1,0,59.0,0,60000000
734,1.0,0,0,1,35.25,0,646000000
736,0.0,1,0,0,58.416668,1,178000000
737,1.0,0,1,0,47.416668,0,246000000
738,0.0,1,0,0,41.0,0,340000000
739,0.0,0,1,0,58.0,1,60000000
742,0.0,0,0,1,46.166668,0,12000000000
743,0.0,0,0,1,75.166664,0,180000000
744,0.0,0,0,1,38.0,0,60000000
746,0.0,0,0,1,34.0,1,564000000
747,0.0,0,0,1,37.416668,0,400000000
748,0.0,0,1,0,54.916668,0,390000000
749,0.0,1,0,0,51.583332,0,60000000
750,0.0,1,0,0,48.833332,0,325000000
752,0.0,1,0,0,55.666668,0,60000000
755,0.0,0,1,0,64.083336,0,500000000
756,0.0,0,0,1,35.916668,0,381000000
757,0.0,0,0,1,47.75,0,288000000
758,0.0,0,1,0,47.083332,1,60000000
759,0.0,0,1,0,44.333332,0,60000000
760,0.0,1,0,0,47.083332,0,60000000
761,0.0,0,1,0,49.25,1,40000000
763,0.0,1,0,0,50.5,1,60000000
764,1.0,1,0,0,32.416668,0,60000000
765,0.0,0,0,1,48.75,1,60000000
766,0.0,0,1,0,47.916668,1,60000000
767,0.0,1,0,0,52.583332,0,640000000
769,1.0,1,0,0,42.0,0,60000000
772,0.0,0,1,0,50.833332,0,1000000000
773,1.0,0,0,1,39.666668,0,60000000
774,0.0,0,1,0,42.083332,0,60000000
776,0.0,0,0,1,36.583332,1,350000000
777,0.0,1,0,0,57.583332,1,60000000
778,1.0,0,0,1,42.083332,0,60000000
779,0.0,0,0,1,53.0,0,60000000
781,0.0,0,1,0,44.833332,0,60000000
785,1.0,1,0,0,48.5,1,500000000
787,0.0,0,1,0,48.583332,0,60000000
789,0.0,0,0,1,38.416668,0,180000000
790,0.0,0,1,0,57.666668,0,60000000
793,0.0,1,0,0,49.666668,0,335000000
794,1.0,0,1,0,41.083332,1,60000000
797,0.0,0,0,1,52.583332,0,60000000
799,0.0,0,0,1,64.916664,1,60000000
801,0.0,0,1,0,52.666668,0,60000000
804,1.0,0,0,1,38.0,0,500000000
806,0.0,0,0,1,62.916668,0,60000000
807,0.0,1,0,0,58.833332,0,440000000
808,0.0,0,0,1,45.25,1,60000000
810,0.0,1,0,0,41.666668,1,300000000
811,1.0,0,0,1,64.916664,0,60000000
812,0.0,1,0,0,37.666668,0,178000000
813,0.0,0,1,0,47.0,0,60000000
818,0.0,0,1,0,27.25,0,180000000
819,0.0,0,1,0,41.083332,1,60000000
820,0.0,0,1,0,53.25,0,60000000
822,0.0,0,0,1,39.666668,1,312000000
823,0.0,1,0,0,47.666668,0,65000000
824,1.0,0,1,0,39.0,0,60000000
826,0.0,0,0,1,28.833334,0,1000000000
830,0.0,1,0,0,33.583332,0,300000000
832,1.0,0,0,1,28.75,0,766000000
833,0.0,1,0,0,42.0,0,60000000
834,0.0,0,1,0,58.333332,0,1000000000
838,1.0,0,0,1,53.166668,0,60000000
839,0.0,0,1,0,51.75,0,60000000
843,0.0,1,0,0,42.916668,0,200000000
845,0.0,1,0,0,47.666668,0,204000000
846,1.0,0,1,0,43.166668,0,60000000
847,0.0,0,0,1,55.083332,0,240000000
848,0.0,0,1,0,40.666668,0,600000000
850,0.0,0,1,0,24.25,0,60000000
851,0.0,0,1,0,43.25,0,60000000
853,0.0,1,0,0,46.166668,0,60000000
854,0.0,0,0,1,42.416668,1,25000000
858,1.0,0,0,1,35.916668,0,243000000
859,0.0,1,0,0,38.0,0,600000000
860,0.0,0,1,0,57.166668,0,60000000
861,0.0,1,0,0,43.25,0,65000000
864,0.0,1,0,0,45.75,0,60000000
865,0.0,0,0,1,50.166668,0,60000000
866,0.0,0,1,0,53.666668,0,391000000
867,0.0,0,0,1,46.0,0,266000000
868,0.0,0,1,0,54.916668,0,400000000
870,0.0,1,0,0,49.583332,1,500000000
871,0.0,0,0,1,33.666668,0,60000000
872,1.0,0,1,0,45.666668,0,500000000
873,0.0,0,1,0,43.416668,0,350000000
874,0.0,0,0,1,55.333332,0,120000000
876,0.0,1,0,0,60.833332,0,180000000
877,0.0,0,0,1,28.916666,0,65000000
878,0.0,0,0,1,48.25,0,60000000
879,0.0,0,1,0,57.0,0,432000000
881,0.0,1,0,0,40.333332,1,600000000
883,0.0,1,0,0,46.666668,0,390000000
884,0.0,0,0,1,46.916668,0,60000000
885,0.0,1,0,0,50.75,0,300000000
886,1.0,0,0,1,56.083332,0,60000000
887,0.0,1,0,0,49.166668,1,25000000
888,0.0,0,1,0,49.416668,0,65000000
889,0.0,0,0,1,58.583332,0,60000000
890,0.0,0,1,0,48.75,1,180000000
891,0.0,1,0,0,42.416668,0,300000000
892,0.0,1,0,0,49.166668,0,60000000
893,0.0,0,1,0,49.75,1,500000000
894,0.0,1,0,0,38.416668,1,60000000
895,0.0,0,0,1,46.083332,0,60000000
897,0.0,0,1,0,43.083332,0,750000000
898,0.0,0,1,0,51.916668,0,25000000
900,0.0,1,0,0,47.833332,0,300000000
903,0.0,0,0,1,46.75,0,560000000
905,0.0,0,1,0,38.25,1,60000000
907,0.0,0,1,0,53.666668,1,25000000
908,0.0,0,0,1,45.416668,0,331000000
910,0.0,0,0,1,40.833332,0,300000000
911,0.0,0,0,1,39.083332,0,60000000
912,0.0,0,0,1,53.166668,0,300000000
913,0.0,0,1,0,37.5,1,60000000
914,0.0,1,0,0,49.166668,0,408000000
915,0.0,0,1,0,50.166668,0,60000000
916,0.0,1,0,0,45.333332,0,488000000
917,0.0,0,1,0,44.0,0,60000000
920,1.0,0,1,0,31.0,0,60000000
923,0.0,0,0,1,50.666668,0,60000000
925,0.0,0,0,1,50.583332,1,419000000
926,0.0,0,1,0,55.083332,0,320000000
927,0.0,0,0,1,30.0,0,146000000
929,0.0,1,0,0,44.5,0,60000000
930,0.0,1,0,0,48.083332,1,60000000
931,0.0,1,0,0,52.083332,0,60000000
932,1.0,0,0,1,27.0,0,60000000
933,0.0,1,0,0,52.666668,1,60000000
934,0.0,0,0,1,35.416668,1,60000000
936,0.0,1,0,0,39.166668,1,60000000
938,0.0,1,0,0,42.583332,1,60000000
939,1.0,0,1,0,44.416668,0,60000000
941,1.0,1,0,0,46.166668,0,1000000000
942,1.0,0,0,1,46.583332,0,60000000
943,0.0,0,1,0,60.416668,0,60000000
946,0.0,0,0,1,50.583332,0,600000000
947,1.0,1,0,0,47.5,0,60000000
949,1.0,0,1,0,40.833332,0,348000000
950,0.0,0,1,0,40.166668,0,60000000
955,1.0,0,1,0,41.416668,1,60000000
959,0.0,1,0,0,43.166668,0,60000000
961,1.0,0,1,0,39.166668,0,60000000
962,0.0,0,1,0,58.25,0,53000000
963,0.0,0,1,0,44.166668,0,60000000
964,1.0,0,1,0,48.083332,0,60000000
965,0.0,1,0,0,46.5,0,60000000
966,0.0,1,0,0,28.25,1,355000000
969,0.0,1,0,0,33.583332,0,60000000
972,0.0,0,0,1,48.5,0,234000000
973,0.0,0,0,1,40.083332,0,960000000
974,1.0,0,0,1,56.583332,0,60000000
975,1.0,1,0,0,46.833332,0,900000000
976,0.0,1,0,0,48.25,0,500000000
977,0.0,0,0,1,40.916668,0,25000000
979,0.0,1,0,0,39.25,0,60000000
980,0.0,0,1,0,49.916668,1,60000000
982,0.0,1,0,0,64.916664,0,60000000
983,0.0,1,0,0,51.083332,1,1000000000
984,1.0,0,0,1,45.916668,0,60000000
987,1.0,0,1,0,29.666666,0,60000000
988,0.0,0,1,0,43.5,0,60000000
989,1.0,0,0,1,53.75,0,60000000
990,0.0,1,0,0,26.166666,0,60000000
991,0.0,1,0,0,46.083332,0,406000000
993,1.0,0,0,1,41.333332,0,60000000
995,0.0,0,0,1,41.5,0,60000000
996,1.0,0,1,0,41.25,0,60000000
998,0.0,1,0,0,60.666668,1,150000000
1000,0.0,1,0,0,52.75,1,1000000000
1001,0.0,0,1,0,44.916668,1,60000000
1002,0.0,0,0,1,49.75,0,60000000
1005,1.0,0,0,1,45.833332,0,60000000
1006,0.0,0,0,1,54.666668,0,60000000
1007,0.0,1,0,0,49.333332,0,60000000
1009,0.0,0,1,0,56.916668,0,60000000
1010,1.0,0,1,0,51.583332,0,500000000
1012,0.0,1,0,0,47.25,1,65000000
1013,0.0,0,0,1,36.75,1,134000000
1015,0.0,1,0,0,59.166668,0,60000000
1016,1.0,1,0,0,43.0,0,1000000000
1018,0.0,0,0,1,32.0,0,180000000
1019,0.0,0,1,0,35.833332,1,192000000
1021,0.0,0,1,0,35.916668,0,60000000
1022,0.0,0,1,0,46.25,1,60000000
1023,0.0,0,0,1,64.166664,0,60000000
1025,1.0,0,0,1,38.083332,0,60000000
1028,1.0,0,0,1,49.25,0,60000000
1029,0.0,0,1,0,56.833332,0,180000000
1030,0.0,0,0,1,62.833332,1,60000000
1032,1.0,0,0,1,40.166668,0,60000000
1035,0.0,1,0,0,34.833332,0,60000000
1036,0.0,1,0,0,33.25,1,400000000
1038,0.0,0,1,0,63.0,1,700000000
1040,0.0,1,0,0,56.833332,0,514000000
1041,0.0,0,0,1,42.833332,1,461000000
1043,1.0,1,0,0,64.5,0,500000000
1045,0.0,0,0,1,59.5,0,60000000
1046,1.0,0,1,0,58.666668,0,65000000
1048,0.0,0,1,0,50.416668,0,60000000
1049,0.0,1,0,0,49.25,0,60000000
1050,0.0,1,0,0,43.916668,1,60000000
1053,0.0,0,0,1,36.0,0,60000000
1054,0.0,0,1,0,44.333332,1,60000000
1056,0.0,1,0,0,57.583332,0,60000000
1060,0.0,1,0,0,38.333332,1,60000000
1061,1.0,0,0,1,42.25,0,60000000
1062,0.0,0,0,1,37.0,1,500000000
1063,1.0,0,0,1,31.333334,0,60000000
1064,0.0,1,0,0,53.25,0,60000000
1067,0.0,0,0,1,60.583332,0,25000000
1068,0.0,1,0,0,51.5,0,60000000
1069,0.0,0,1,0,54.666668,1,60000000
1070,0.0,0,0,1,57.416668,0,520000000
1071,0.0,1,0,0,51.083332,0,300000000
1072,0.0,0,1,0,53.083332,0,60000000
1074,0.0,0,0,1,46.25,0,60000000
1076,0.0,1,0,0,59.75,0,60000000
1078,0.0,0,1,0,55.583332,0,60000000
1079,0.0,1,0,0,54.333332,0,600000000
1080,0.0,1,0,0,62.75,0,60000000
1082,1.0,0,1,0,64.916664,1,60000000
1083,1.0,0,1,0,27.333334,0,600000000
1084,0.0,0,0,1,46.0,0,60000000
1085,0.0,1,0,0,51.916668,0,282000000
1087,0.0,1,0,0,53.333332,0,25000000
1088,0.0,0,1,0,39.0,0,60000000
1089,0.0,1,0,0,39.0,1,60000000
1090,0.0,1,0,0,48.0,0,622000000
1091,1.0,1,0,0,53.083332,0,150000000
1092,1.0,0,0,1,37.083332,0,25000000
1093,0.0,1,0,0,53.666668,1,60000000
1094,1.0,0,1,0,53.083332,0,60000000
1095,1.0,0,1,0,42.166668,0,60000000
1096,0.0,1,0,0,61.333332,1,60000000
1097,1.0,0,0,1,44.5,0,1000000000
1098,0.0,0,0,1,41.833332,0,60000000
1100,0.0,0,0,1,47.75,0,650000000
1101,0.0,1,0,0,44.0,0,60000000
1102,0.0,1,0,0,50.75,0,60000000
1103,0.0,0,1,0,40.833332,1,60000000
1104,0.0,0,1,0,41.666668,1,60000000
1105,1.0,0,0,1,49.5,1,60000000
1106,0.0,0,0,1,42.416668,0,25000000
1107,1.0,0,1,0,51.333332,1,1000000000
1108,0.0,1,0,0,55.833332,0,60000000
1109,0.0,1,0,0,43.0,1,60000000
1111,0.0,1,0,0,31.916666,0,60000000
1113,0.0,0,0,1,48.583332,0,60000000
1114,0.0,1,0,0,45.083332,0,60000000
1116,0.0,0,1,0,51.75,0,1000000000
1117,0.0,0,0,1,42.583332,0,60000000
1118,1.0,1,0,0,59.75,1,1000000000
1120,1.0,0,1,0,50.083332,0,1000000000
1121,0.0,1,0,0,43.666668,1,325000000
1122,1.0,0,0,1,55.25,0,1000000000
1123,0.0,1,0,0,47.916668,0,25000000
1124,0.0,0,0,1,39.416668,0,60000000
1125,1.0,0,0,1,36.25,1,600000000
1127,0.0,0,0,1,54.166668,0,60000000
1128,0.0,1,0,0,33.5,0,60000000
1129,0.0,0,0,1,62.0,1,1000000000
1130,0.0,0,1,0,51.833332,1,60000000
1132,1.0,0,1,0,28.833334,1,8492000256
1133,0.0,1,0,0,56.25,0,60000000
1134,0.0,1,0,0,51.25,0,221000000
1136,0.0,0,1,0,51.083332,0,60000000
1137,0.0,1,0,0,44.25,1,60000000
1138,0.0,1,0,0,50.583332,0,300000000
1139,0.0,0,1,0,55.416668,0,60000000
1141,0.0,0,0,1,46.833332,0,540000000
1144,0.0,1,0,0,27.166666,0,1000000000
1146,1.0,0,0,1,43.916668,0,25000000
1147,0.0,0,0,1,50.0,0,213000000
1148,0.0,0,0,1,40.416668,0,60000000
1150,0.0,0,1,0,54.25,0,4800000000
1151,0.0,0,0,1,46.416668,0,300000000
1152,0.0,1,0,0,45.833332,0,25000000
1155,0.0,1,0,0,57.416668,1,60000000
1156,0.0,0,1,0,37.583332,1,1000000000
1158,0.0,0,0,1,38.25,0,60000000
1159,0.0,1,0,0,43.5,0,60000000
1160,0.0,0,0,1,42.0,0,150000000
1161,0.0,0,0,1,54.916668,0,1000000000
1164,0.0,0,1,0,44.083332,0,353000000
1166,1.0,0,1,0,48.666668,1,60000000
1167,0.0,1,0,0,62.5,1,60000000
1168,0.0,1,0,0,44.0,1,360000000
1170,0.0,0,1,0,48.166668,0,60000000
1172,0.0,0,0,1,44.75,1,60000000
1175,0.0,1,0,0,45.5,1,60000000
1177,0.0,0,0,1,60.0,0,384000000
1178,1.0,0,1,0,52.25,0,360000000
1180,1.0,1,0,0,36.416668,0,3000000000
1181,0.0,0,0,1,45.166668,1,420000000
1183,0.0,0,1,0,43.25,0,60000000
1185,0.0,1,0,0,48.25,0,60000000
1186,0.0,0,0,1,36.916668,0,60000000
1188,0.0,0,1,0,46.916668,0,60000000
1189,1.0,0,1,0,55.166668,0,500000000
1191,1.0,0,1,0,40.833332,0,60000000
1193,0.0,1,0,0,34.666668,1,504000000
1194,0.0,0,0,1,42.166668,0,60000000
1195,1.0,1,0,0,43.083332,0,25000000
1197,0.0,1,0,0,50.583332,0,60000000
1198,1.0,0,0,1,52.833332,0,60000000
1199,0.0,1,0,0,42.083332,0,25000000
1201,0.0,1,0,0,34.583332,0,60000000
1203,0.0,1,0,0,44.166668,0,60000000
1204,0.0,1,0,0,45.166668,1,500000000
1205,0.0,0,0,1,53.0,0,335000000
1206,0.0,0,0,1,46.416668,0,60000000
1208,0.0,0,0,1,23.75,0,60000000
1209,0.0,0,0,1,39.25,0,195000000
1210,0.0,0,1,0,54.5,0,60000000
1211,0.0,1,0,0,50.583332,1,60000000
1212,1.0,0,1,0,35.583332,1,383000000
1213,0.0,0,1,0,37.333332,0,60000000
1214,0.0,0,0,1,45.833332,0,300000000
1216,0.0,0,0,1,62.833332,0,60000000
1221,0.0,0,0,1,47.75,1,60000000
1222,0.0,0,1,0,43.833332,1,65000000
1223,0.0,0,1,0,36.583332,1,60000000
1225,0.0,0,1,0,47.25,0,60000000
1226,0.0,1,0,0,58.583332,0,60000000
1227,0.0,0,1,0,49.583332,0,420000000
1228,0.0,0,0,1,62.166668,0,60000000
1229,0.0,1,0,0,37.583332,0,60000000
1231,0.0,0,1,0,34.166668,0,60000000
1232,0.0,1,0,0,44.583332,0,60000000
1233,1.0,0,0,1,50.666668,0,60000000
1236,0.0,1,0,0,62.416668,1,130000000
1237,0.0,0,1,0,45.833332,0,60000000
1238,0.0,0,1,0,49.916668,0,140000000
1239,0.0,0,0,1,56.916668,0,60000000
1240,0.0,0,0,1,41.25,0,1000000000
1242,0.0,0,1,0,35.916668,0,60000000
1243,0.0,0,0,1,42.0,0,276000000
1245,0.0,1,0,0,47.833332,0,60000000
1246,0.0,1,0,0,39.25,0,60000000
1248,0.0,0,1,0,45.916668,1,480000000
1249,0.0,0,0,1,40.333332,1,60000000
1250,0.0,0,1,0,58.0,1,180000000
1251,0.0,1,0,0,32.5,0,144000000
1252,1.0,1,0,0,43.416668,1,1000000000
1253,0.0,1,0,0,36.0,0,600000000
1254,0.0,0,1,0,53.0,1,250000000
1255,0.0,0,1,0,26.25,0,60000000
1256,0.0,0,0,1,50.5,0,500000000
1258,0.0,0,1,0,53.166668,1,180000000
1259,0.0,0,0,1,56.333332,0,211000000
